author	place	region		
Portlaoise	1	Portlaoise	Ирландия		
Shannon	1	Shannon	Ирландия		
Belfast	1	Белфаст	Ирландия		
Ireland	8	Ирландия	Ирландия		
Reykjavik	1	Reykjavík	Исландия		
Reykjavík	1	Reykjavík	Исландия		
Рейкьявик101	1	Reykjavík	Исландия		
Рекъявик	1	Reykjavík	Исландия		
Iceland	4	Исландия	Исландия		
MarinaDelRey	1	 Santa Marina del Rey	Испания		
Alicante	2	Alicante	Испания		
Аликанте	1	Alicante	Испания		
Andalucia	1	Andalucia	Испания		
Andaluzia	1	Andalucia	Испания		
Asturias	1	Asturias	Испания		
Avilés	2	Avilés	Испания		
barcelona	1	Barcelona	Испания		
Barcelona	17	Barcelona	Испания		
барса	1	Barcelona	Испания		
Барселона	4	Barcelona	Испания		
Benidorm	1	Benidorm	Испания		
Бильбао	1	Bilbao	Испания		
blanes	1	Blanes	Испания		
BuenavistadelNorte	1	Buenavista del Norte	Испания		
Burlada	1	Burlada	Испания		
Calella	1	Calella	Испания		
Castilla-LaMancha	1	Castilla - La Mancha	Испания		
Castralvo	1	Castralvo	Испания		
Cataluña	1	Cataluña	Испания		
ElMedano	1	El Medano	Испания		
Girona	1	Girona	Испания		
HinojosadelDuque	1	Hinojosa del Duque	Испания		
Holguin	1	Holguin	Испания		
Kordova	1	Kordova	Испания		
madrid	1	Madrid	Испания		
Madrid	6	Madrid	Испания		
Мадрид	1	Madrid	Испания		
Malaga	1	Málaga	Испания		
Málaga	1	Málaga	Испания		
Malta	2	Malta	Испания		
Marbella	1	Marbella	Испания		
Marseille	1	Marseille	Испания		
Olot	1	Olot	Испания		
Salou	1	Salou	Испания		
Sevilla	1	Sevilla	Испания		
sevilla	1	Sevilla	Испания		
TavernesdelaValldigna	1	Tavernes de la Valldigna	Испания		
Тенерифе	1	Tenerife	Испания		
Torrevieja	1	Torrevieja	Испания		
Valencia	3	Valencia	Испания		
Zaragoza	1	Zaragoza	Испания		
Spain	8	Испания	Испания		
CanariasAutonomousCommunity	1	Канарские острова	Испания		
CanaryIslands/Spain	1	Канарские острова	Испания		
Avetrana	1	Avetrana	Италия		
Bari	1	Bari	Италия		
Benevento	1	Benevento	Италия		
Bologna	1	Bologna	Италия		
CampaniaRegion	1	Campania	Италия		
CastiglionedellaPescaia	1	Castiglione della Pescaia	Италия		
Catania	1	Catania	Италия		
cogoleto	1	Cogoleto	Италия		
Cremona	1	Cremona	Италия		
Firenze	1	Firenze	Италия		
Florence	4	Firenze	Италия		
Флоренция	1	Firenze 	Италия		
Lucca	1	Lucca	Италия		
Milan	7	Milano	Италия		
Milano	6	Milano	Италия		
Monforted'Alba	1	Monforte d'Alba	Италия		
Montella	1	Montella	Италия		
Montesilvano	1	Montesilvano	Италия		
Napoli	1	Napoli	Италия		
Padova	2	Padova	Италия		
Parma	2	Parma	Италия		
ReggioEmilia	1	Reggio nell'Emilia	Италия		
Riccione	1	Riccione	Италия		
Rimini	1	Rimini	Италия		
Roma	5	Roma	Италия		
Rome	7	Roma	Италия		
Sanremo	1	Sanremo	Италия		
Sassari	1	Sassari	Италия		
Sassuolo	1	Sassuolo	Италия		
Taormina	1	Taormina	Италия		
Torino	2	Torino	Италия		
Treviso	2	Treviso	Италия		
Trieste	2	Trieste	Италия		
Triora	1	Triora	Италия		
Udine	1	Udine	Италия		
ValleAurina	1	Valle Aurina	Италия		
varchignoli	1	Varchignoli	Италия		
Italy	27	Италия	Италия		
Кабардино-БалкарскаяРеспублика	4	Кабардино-Балкария	Кабардино-Балкария		
СреднийКуркужин	1	Кабардино-Балкария	Кабардино-Балкария		
NALCHIK	1	Нальчик	Кабардино-Балкария		
нальчик	1	Нальчик	Кабардино-Балкария		
Нальчик	16	Нальчик	Кабардино-Балкария		
ВеликийТырныауз	1	Тырныауз	Кабардино-Балкария		
Тырныауз	3	Тырныауз	Кабардино-Болгария		
CapeVerde	6	Кабо-Верде	Кабо-Верде		
Kazakhstan	23	Казахстан	Казахстан		
Казахстан	1	Казахстан	Казахстан		
Gumbinnen	1	Гусев	Калининградская область		
kaliningrad	2	Калининград	Калининградская область		
Kaliningrad	47	Калининград	Калининградская область		
Kaliningrad(Koenigsberg)	1	Калининград	Калининградская область		
Kaliningrad™	1	Калининград	Калининградская область		
kenigsberg	1	Калининград	Калининградская область		
Kenigsberg	3	Калининград	Калининградская область		
Koenig	2	Калининград	Калининградская область		
Koenigsberg	5	Калининград	Калининградская область		
koniegsberg	1	Калининград	Калининградская область		
Königsberg/Moscow	1	Калининград	Калининградская область		
Kалининград	1	Калининград	Калининградская область		
калининград	1	Калининград	Калининградская область		
Калининград	180	Калининград	Калининградская область		
Калининград-Москва	2	Калининград	Калининградская область		
Калининграл	1	Калининград	Калининградская область		
Кенигсберг	3	Калининград	Калининградская область		
Кёнигсберг	3	Калининград	Калининградская область		
Крулевец	1	Калининград	Калининградская область		
СтарыйКёнигсберг	1	Калининград	Калининградская область		
ЗападныйберегрекиПрегель	1	Калининградская область	Калининградская область		
Калининградскаяобласть	19	Калининградская область	Калининградская область		
Светлогорск	1	Светлогорск	Калининградская область		
Светлогорск...Калининград	1	Светлогорск, Калининград	Калининградская область		
zimmerbude	1	Светлый	Калининградская область		
Инстербург-Мемель	1	Черняховск, Клайпеда	Калининградская область		
Москва-Ленинград-Калининград-Москва-Терскол-Петербург	1	Москва, Петербург, Калининград	Калининградская область, Москва, Петербург		
Калининград/Х-Мансийск	1	Калининград, Ханты-Мансийск	Калининградская область, Ханты-Мансийский АО		
КалмыкияРеспублика	1	Калмыкия	Калмыкия		
Элиста	2	Элиста	Калмыкия		
Балабаново-1	1	Балабаново-1	Калужская область		
Kaluga	5	Калуга	Калужская область		
Kалуга	1	Калуга	Калужская область		
КАЛУГА	1	Калуга	Калужская область		
Калуга	62	Калуга	Калужская область		
Москва-Калуга	2	Калуга	Калужская область		
застряламеждуМосквойиКалугой...	1	Калуга, Москва	Калужская область		
Калуга&Москва	1	Калуга, Москва	Калужская область		
Калуга-Москва	1	Калуга, Москва	Калужская область		
временамиКалужскаяобласть	1	Калужская область	Калужская область		
деревняблизКалуги	1	Калужская область	Калужская область		
Калужскаяобласть	7	Калужская область	Калужская область		
Козельск	1	Козельск	Калужская область		
Людиново	1	Людиново	Калужская область		
Малоярославец	1	Малоярославец	Калужская область		
Малоярославец-Обнинск	1	Малоярославец, Обнинск	Калужская область		
Мещовск	1	Мещовск	Калужская область		
msc/obn	1	Обнинск	Калужская область		
Obninsk	4	Обнинск	Калужская область		
обнинск	1	Обнинск	Калужская область		
Обнинск	21	Обнинск	Калужская область		
Обнинскимногиедр.	1	Обнинск	Калужская область		
Обнинск-Москва	1	Обнинск	Калужская область		
селоПеремышль	1	Перемышль	Калужская область		
Сосенский	1	Сосенский	Калужская область		
Москва-Таруса	2	Таруса	Калужская область		
Таруса	2	Таруса	Калужская область		
Таруса.	1	Таруса	Калужская область		
Cambodia	10	Камбоджа	Камбоджа		
KampongSaom	1	Кампонг Сом	Камбоджа		
PhnomPenh	1	Пномпень	Камбоджа		
Пномпень	1	Пномпень	Камбоджа		
Cameroon	10	Камерун	Камерун		
Камчатка(Командорскиеострова-Вилючинск)	1	Вилючинск	Камчатский край		
посёлокВулканный	1	Вулканный	Камчатский край		
Елизово	1	Елизово	Камчатский край		
Камчатскийкрай	7	Камчатский край	Камчатский край		
Petropavlovsk-Rfvchatskiy	1	Петропавловск-Камчатский	Камчатский край		
П.-К.	1	Петропавловск-Камчатский	Камчатский край		
Петропавловск-Камчатскии	1	Петропавловск-Камчатский	Камчатский край		
ПетропавловскКамчатский	1	Петропавловск-Камчатский	Камчатский край		
петропавловск-Камчатский	1	Петропавловск-Камчатский	Камчатский край		
петропавловск-камчатский	1	Петропавловск-Камчатский	Камчатский край		
Петропавловск-Камчатский	17	Петропавловск-Камчатский	Камчатский край		
П-К-Н-ск-Мск-Ханты-Академ	1	Петропавловск-Камчатский, Новосибирск, Ханты-Мансийск	Камчатский край, Новосибирская область, Ханты-Мансийский АО		
Санкт-Петербург//Петропавловск-Камчасткий	1	Петропавловск-Камчатский, Петербург	Камчатский край, Петербург		
Brampton	2	Brampton	Канада		
BritishColumbia	1	British Columbia	Канада		
Burnaby	3	Burnaby	Канада		
Calgary	13	Calgary	Канада		
Coquitlam	2	Coquitlam	Канада		
Dorval	1	Dorval	Канада		
Edmonton	4	Edmonton	Канада		
FortMcMurray	1	Fort McMurray	Канада		
Guelph	1	Guelph	Канада		
Kamloops	1	Kamloops	Канада		
Kitchener	1	Kitchener	Канада		
Mississauga	4	Mississauga	Канада		
Montreal	22	Montréal	Канада		
Montréal	4	Montréal	Канада		
Монреаль	1	Montréal 	Канада		
Монреаль:-)	1	Montréal 	Канада		
NewBrunswick	1	New Brunswick	Канада		
New-Brunswick	1	New Brunswick	Канада		
Newfoundland	1	Newfoundland	Канада		
Newmarket	2	Newmarket	Канада		
Ontario	4	Ontario	Канада		
Ottawa	9	Ottawa	Канада		
Québec	1	Québec	Канада		
RichmondHill	4	Richmond Hill	Канада		
Sainte-Thérèse	1	Sainte-Thérèse	Канада		
Saint-Grégoire	1	Saint-Grégoire	Канада		
SaintGreoire	1	Saint-Grégoire	Канада		
Saskatoon	1	Saskatoon	Канада		
Thornhill	4	Thornhill	Канада		
Etobicoke	1	Toronto	Канада		
GreaterTorontoArea	1	Toronto	Канада		
toronto	2	Toronto	Канада		
Toronto	96	Toronto	Канада		
Таронта	1	Toronto	Канада		
Торонто	6	Toronto	Канада		
Торонтскаяобласть	1	Toronto	Канада		
Vancouver	21	Vancouver	Канада		
vankoover	1	Vancouver	Канада		
Ванкувер	2	Vancouver	Канада		
Winnipeg	5	Winnipeg	Канада		
Виннипег	1	Winnipeg	Канада		
Canada	44	Канада	Канада		
NiagaraRegion/Toronto	1	Канада	Канада		
Karaganda	3	Караганда	Карагандинская область		
Караганда	3	Караганда	Карагандинская область		
Temirtau	1	Темиртау	Карагандинская область		
Карачаево-ЧеркесскаяРеспублика	2	Карачаево-Черкесия	Карачаево-Черкесия		
Курджиново	1	Курджиново	Карачаево-Черкесия		
НижнийАрхыз	1	Нижний Архыз 	Карачаево-Черкесия		
черкесск	1	Черкесск	Карачаево-Черкесия		
Черкесск	8	Черкесск	Карачаево-Черкесия		
onego	1	?Петрозаводск	Карелия		
Беломорск	1	Беломорск	Карелия		
Onegaborg	1	Карелия	Карелия		
КарелияРеспублика	10	Карелия	Карелия		
Кондопога	1	Кондопога	Карелия		
Костомукша	1	Костомукша	Карелия		
Лахденпохья	1	Лахденпохья	Карелия		
Медвежьегорск	1	Медвежьегорск	Карелия		
Медвежьегорск(РеспубликаКарелия)	1	Медвежьегорск	Карелия		
Заонежье	1	Медвежьегорский район	Карелия		
Олонец	1	Олонец	Карелия		
Petpozavodsk	1	Петрозаводск	Карелия		
Petroskoi	2	Петрозаводск	Карелия		
Petrozavodsk	7	Петрозаводск	Карелия		
Ptz	2	Петрозаводск	Карелия		
какгде?Петрозаводск!	1	Петрозаводск	Карелия		
Петрозаводск-Москва, някино	1	Петрозаводск	Карелия		
птз	1	Петрозаводск	Карелия		
Соловецкий	1	Соловецкий	Карелия		
Сортавалa	1	Сортавала	Карелия		
Сортавала	1	Сортавала	Карелия		
Чупа	1	Чупа	Карелия		
Doha	1	Доха	Катар		
Доха	1	Доха	Катар		
Qatar	4	Катар	Катар		
Катар	1	Катар	Катар		
(Kemerovo	1	Кемерово	Кемеровская область		
kemerovo	2	Кемерово	Кемеровская область		
Kemerovo	11	Кемерово	Кемеровская область		
кемерово	3	Кемерово	Кемеровская область		
Кемерово	65	Кемерово	Кемеровская область		
Москва-Кемерово	1	Кемерово	Кемеровская область		
Кемерово/Прокопьевск	1	Кемерово, Прокопьевск	Кемеровская область		
Кемеровскаяобласть	14	Кемеровская область	Кемеровская область		
Междуреченск	2	Междуреченск	Кемеровская область		
nkz	1	Новокузнецк	Кемеровская область		
Novokuznetsk	1	Новокузнецк	Кемеровская область		
NVkz	1	Новокузнецк	Кемеровская область		
Кузня	1	Новокузнецк	Кемеровская область		
Новокузнецк	30	Новокузнецк	Кемеровская область		
Новокузнецк-Санкт-Петербург	1	Новокузнецк, Петербург	Кемеровская область		
Полысаево	1	Полысаево	Кемеровская область		
Прокопьевск	2	Прокопьевск	Кемеровская область		
Tashtagol	1	Таштагол	Кемеровская область		
Топки	1	Топки	Кемеровская область		
Юрга	4	Юрга	Кемеровская область		
Kenya	2	Кения	Кения		
Бат-Ям-Киев	1	Бат-Ям, Киев	Киев		
(Amsterdam-Dresden-Madrid)Kyiv	1	Киев	Киев		
Kænugarður	1	Киев	Киев		
Kieff	2	Киев	Киев		
KIev	1	Киев	Киев		
KIEV	3	Киев	Киев		
kiev	43	Киев	Киев		
Kiev	1418	Киев	Киев		
Kiev&Others	1	Киев	Киев		
Kiev(Kyiv)	1	Киев	Киев		
Kiev/BocaRaton	1	Киев	Киев		
KievRockCity	1	Киев	Киев		
Kiev-Troeshina	1	Киев	Киев		
KiEW	1	Киев	Киев		
Kiew	5	Киев	Киев		
Kiiv	1	Киев	Киев		
Kiyv	15	Киев	Киев		
Kyev	7	Киев	Киев		
Kyiff	1	Киев	Киев		
KYIV	1	Киев	Киев		
kyiv	7	Киев	Киев		
Kyiv	308	Киев	Киев		
Kyïv	1	Киев	Киев		
Kyiv_Kiev	1	Киев	Киев		
Kyiw	1	Киев	Киев		
Kyiyv	1	Киев	Киев		
Kyjiv	1	Киев	Киев		
Kyyiv	1	Киев	Киев		
Kиев	3	Киев	Киев		
Kиїв/Kyjiv/Kiev/Кіевъ	1	Киев	Киев		
Obolon	2	Киев	Киев		
Qiyv	1	Киев	Киев		
rbtd	1	Киев	Киев		
Svyatoshino	1	Киев	Киев		
Teremki	3	Киев	Киев		
Yokohama-Kiev	1	Киев	Киев		
Биковня	1	Киев	Киев		
Борщагівка	1	Киев	Киев		
Кiev	1	Киев	Киев		
Кiew	1	Киев	Киев		
КИЕВ	6	Киев	Киев		
киев	25	Киев	Киев		
Киев	967	Киев	Киев		
Киев(хотяпокаживувдругомгороде)	1	Киев	Киев		
Киев.	1	Киев	Киев		
Киев..	1	Киев	Киев		
киев.музычи	1	Киев	Киев		
Киев/Kyiv	1	Киев	Киев		
Киев-Barcelona	1	Киев	Киев		
Киевград	1	Киев	Киев		
Киевсити	1	Киев	Киев		
Киев-Торонто	1	Киев	Киев		
Киев-Украина-Земля-МлечныйПуть-СверхскоплениеДевы	1	Киев	Киев		
Киевъ	1	Киев	Киев		
КИЇВ	1	Киев	Киев		
київ	5	Киев	Киев		
Київ	252	Киев	Киев		
Київ!!!!!!	1	Киев	Киев		
Киїффф	1	Киев	Киев		
Кійова	1	Киев	Киев		
кыефф	1	Киев	Киев		
м.Київ	2	Киев	Киев		
Матьгородоврусских	1	Киев	Киев		
місто-геМОройКиїв	1	Киев	Киев		
місто-геройКиїв	1	Киев	Киев		
ОккупированныйКиев	1	Киев	Киев		
ПівденнаБорщагівка	1	Киев	Киев		
СайлЕнтКійов	1	Киев	Киев		
СейчасКиев	1	Киев	Киев		
скореевсегоКиев	1	Киев	Киев		
СтольныйградъКиевъ	1	Киев	Киев		
странныйгородкиев	1	Киев	Киев		
Это-временно-ведь-Киев-навсегда-в-моём-сердце	1	Киев	Киев		
Киев-Боярка	1	Киев, Боярка	Киев		
Киев-Вишневый(Киевскаяобл.)	1	Киев, Вишневый	Киев		
Kiev-Montreal	1	Киев, Монреаль	Киев		
Kyiv-Moscow	1	Киев, Москва	Киев		
Kieff-Piter	1	Киев, Петербург	Киев		
Кієвіпрочєє	1	Киевская область	Киев		
Москва-Киев	2	Москва, Киев	Киев		
Мск-Киев-Питер	1	Москва, Киев, Петербург	Киев		
Москва-Санкт-Петербург-Киев	1	Москва, Петербург, Киев	Киев		
Kiev-Dnepropetrovsk	2	Киев, Днепропетровск	Киев, Днепропетровская область		
Киев-Дніпропетровськ	1	Киев, Днепропетровск	Киев, Днепропетровская область		
Kyiv/Moscow/Dnipropetrovs'k	1	Киев, Москва, Днепропетровская область	Киев, Днепропетровская область		
Киев-Днепропетровск-Харьков	1	Киев, Днепропетровск, Харьков	Киев, Днепропетровская область, Харьковская область		
Киев-Бердичев	1	Киев, Бердичев	Киев, Житомирская область		
Киев/Житомир	1	Киев, Житомир	Киев, Житомирская область		
Kiev-Berdyansk-Transit	1	Киев, Бердянск	Киев, Запорожская область		
Киев-Запорожье	1	Киев, Запорожье	Киев, Запорожская область		
Kiev-Kirovograd	1	Киев, Кировоград	Киев, Кировоградская область		
"Киев-Москва-Воркута-Берлин-Транзит;Украина"	1	Киев, Воркута, Москва	Киев, Коми, Москва		
Киев-Симферополь	2	Киев, Симферополь	Киев, Крым		
Киев-Вильнюс-Лондон	1	Киев, Вильнюс	Киев, Литва		
Kyiv/Lviv	1	Киев, Львов	Киев, Львовская область		
Kyiv-Lviv	1	Киев, Львов	Киев, Львовская область		
Киев-Москва-СПБ	1	Киев, Москва, Петербург	Киев, Москва, Петербург		
Kiev/Nikolaev	1	Киев, Николаев	Киев, Николаевская область		
Київ-Одеса	1	Киев, Одесса	Киев, Одесская область		
Киев-Санкт-Петербург	1	Киев, Петербург	Киев, Петербург		
Питер-Киев-Москва	1	Петербург, Киев, Москва	Киев, Петербург, Москва		
Киев-Полтава	1	Киев, Полтава	Киев, Полтавская область		
Киев-Кременчуг-Днепропетровск	1	Киев, Кременчуг, Днепропетровск	Киев, Полтавская область, Днепропетровская область		
Kyiv-Sumy	1	Киев, Сумы	Киев, Сумская область		
Киев/Харьков	1	Киев, Харьков	Киев, Харьковская область		
Киев-Харьковтранзит	1	Киев, Харьков	Киев, Харьковская область		
Киев-Харьков-Крым	1	Киев, Харьков, Крым	Киев, Харьковская область, Крым		
Киев-Ялта-Харьков	1	Киев, Ялта, Харьков	Киев, Харьковская область, Крым		
Kiev/Cherkassy	1	Киев, Черкассы	Киев, Черкасская область		
kievtallinn	1	Киев, Таллин	Киев, Эстония		
BilaTserkva	3	Белая Церковь	Киевская область		
BilaTzerkva	1	Белая Церковь	Киевская область		
БелаяЦерковь	7	Белая Церковь	Киевская область		
БілаЦерква	3	Белая Церковь	Киевская область		
БілаЦерква-ква-ква	1	Белая Церковь	Киевская область		
БЦ	1	Белая Церковь	Киевская область		
БілаЦерква-Киев	1	Белая Церковь, Киев	Киевская область		
Boryspil	1	Борисполь	Киевская область		
Бориспіль	1	Борисполь	Киевская область		
Boyarka	2	Боярка	Киевская область		
Боярка	1	Боярка	Киевская область		
Боярка-сіті	1	Боярка	Киевская область		
Brovary	2	Бровары	Киевская область		
Бровары	2	Бровары	Киевская область		
Brovary/Kiev	1	Бровары, Киев	Киевская область		
Васильков	1	Васильков	Киевская область		
Glevaha	1	Глеваха	Киевская область		
Gostomel	1	Гостомель	Киевская область		
Irpen	4	Ирпень	Киевская область		
Irpin	1	Ирпень	Киевская область		
Ирпень	1	Ирпень	Киевская область		
KievOblast	3	Киевская область	Киевская область		
Kиевскаяобл.	1	Киевская область	Киевская область		
Киевскаяобл.	2	Киевская область	Киевская область		
Київська	1	Киевская область	Киевская область		
Київщина	1	Киевская область	Киевская область		
Коцюбинское(Киев)	1	Коцюбинское, Киев	Киевская область		
Славутич	1	Славутич	Киевская область		
Fastov	2	Фастов	Киевская область		
Фастів	1	Фастов	Киевская область		
Фастов	2	Фастов	Киевская область		
Fastiv-Kyiv	1	Фастов, Киев	Киевская область		
Kiev-Kharkov-Elsewhere	1	Киев, Харьков	Киевская область, Днепропетровская область		
Cyprus	11	Кипр	Кипр		
Limasol	1	Лимасол	Кипр		
Limassol	7	Лимасол	Кипр		
Лимассол	1	Лимасол	Кипр		
Mandriavillage	1	Мандрия	Кипр		
Nicosia	4	Никосия	Кипр		
Никосия	2	Никосия	Кипр		
Paphos	3	Пафос	Кипр		
bishckek	1	Бишкек	Киргизия		
Bishkek	9	Бишкек	Киргизия		
Бишкек	10	Бишкек	Киргизия		
Kyrgyzstan	2	Киргизия	Киргизия		
Ош	1	Ош	Киргизия		
Kiribati	1	Кирибати	Кирибати		
Kirovohrad	5	Кировоград	Кировоградская область		
Kirowograd	1	Кировоград	Кировоградская область		
Єлисаветград	1	Кировоград	Кировоградская область		
Кировоград	5	Кировоград	Кировоградская область		
Кіровоград	3	Кировоград	Кировоградская область		
БелаяХолуница	1	Белая Холуница	Кировская область		
ВятскиеПоляны	2	Вятские Поляны	Кировская область		
Вятка	2	Киров	Кировская область		
Вятка(Киров)	2	Киров	Кировская область		
киров	2	Киров	Кировская область		
Киров	92	Киров	Кировская область		
Хлынов	1	Киров	Кировская область		
Хлынов-Вятка-Киров	1	Киров	Кировская область		
Кирово-Чепецк	1	Кирово-Чепецк	Кировская область		
Кировскаяобласть	8	Кировская область	Кировская область		
РионаВятке	1	Малмыж	Кировская область		
Нолинск	1	Нолинск	Кировская область		
Омутнинск	1	Омутнинск	Кировская область		
Oparino	1	Опарино	Кировская область		
Яранск	1	Яранск	Кировская область		
Рябово(Кировскаяобласть)	1	Рябово	Кировскаяобласть		
HongKong	7	Гонконг	Китай		
Guangzhou	3	Гуанчжоу	Китай		
Dalian	1	Далянь	Китай		
China	15	Китай	Китай		
Nanjing	1	Нанкин	Китай		
Ningbo	1	Нинбо	Китай		
Beijin	1	Пекин	Китай		
Beijing	10	Пекин	Китай		
BeijingChina	1	Пекин	Китай		
Beijing-Hongkong	1	Пекин	Китай		
Пекин	2	Пекин	Китай		
Xiamen	1	Сямэнь	Китай		
xiamen	1	Сямэнь	Китай		
Сямэнь	1	Сямэнь	Китай		
Tianjin	2	Тяньцзинь	Китай		
佛山	1	Фошань	Китай		
Hangzhou	3	Ханчжоу	Китай		
Hualien	1	Хуалянь	Китай		
Changchun	1	Чанчунь	Китай		
Minhang	1	Шанхай	Китай		
shanghai	1	Шанхай	Китай		
Shanghai	9	Шанхай	Китай		
Shaoxing	1	Шаосин	Китай		
ShenZhen	1	Шэньчжэнь	Китай		
Shenzhen	5	Шэньчжэнь	Китай		
Шенчжэнь	1	Шэньчжэнь	Китай		
Яньцзи	1	Яньцзи	Китай		
Barranquilla	1	Barranquilla	Колумбия		
Bogotá	1	Bogotá	Колумбия		
Colombia	5	Колумбия	Колумбия		
Воркута	3	Воркута	Коми		
КомиРеспублика	9	Коми	Коми		
Микунь	1	Микунь	Коми		
Печора	1	Печора	Коми		
Сосногорск	1	Сосногорск	Коми		
Cыктывкар	1	Сыктывкар	Коми		
Syktyvkar	4	Сыктывкар	Коми		
Сыктывкар	38	Сыктывкар	Коми		
Сыктыквкар	1	Сыктывкар	Коми		
Усинск	1	Усинск	Коми		
Усогорск	1	Усогорск	Коми		
Ухта	5	Ухта	Коми		
Comoros	5	Коморские Острова	Коморские Острова		
Congo	20	Конго	Конго		
Korea	1	Корея	Корея		
Suwon	3	Сувон	Корея		
Daegu	1	Тэгу	Корея		
Taegu	1	Тэгу	Корея		
Kostanay	2	Костанай	Костанайская область		
Костанай	1	Костанай	Костанайская область		
Кустанай	1	Костанай	Костанайская область		
Рудный	1	Рудный	Костанайская область		
Cartago	1	Cartago	Коста-Рика		
CostaRica	3	Коста-Рика	Коста-Рика		
kostroma	1	Кострома	Костромская область		
Kostroma	5	Кострома	Костромская область		
Moskva-Kostroma	1	Кострома	Костромская область		
Кострома	28	Кострома	Костромская область		
Костромскаяобласть	3	Костромская область	Костромская область		
Нея	1	Нея	Костромская область		
Солигалич	1	Солигалич	Костромская область		
Kostroma/Saint-Petersburg	1	Кострома, Петербург	Костромская область, Петербург		
CoteD'Ivoire(IvoryCoast)	4	Кот д`Ивуар	Кот д`Ивуар		
МоСочи	1	?Москва, Сочи	Краснодарский край		
АНАПА	1	Анапа	Краснодарский край		
Анапа	12	Анапа	Краснодарский край		
армавир	1	Армавир	Краснодарский край		
Армавир	7	Армавир	Краснодарский край		
ст.Баракаевская	1	Баракаевская	Краснодарский край		
Белореченск	1	Белореченск	Краснодарский край		
белореченск	1	Белореченск	Краснодарский край		
СтаницаБриньковская	1	Бриньковская	Краснодарский край		
Gelendzhik	1	Геленджик	Краснодарский край		
геленджик	1	Геленджик	Краснодарский край		
Геленджик	6	Геленджик	Краснодарский край		
Гулькевичи	1	Гулькевичи	Краснодарский край		
Динская	1	Динская	Краснодарский край		
Ейск	3	Ейск	Краснодарский край		
Кореновск	1	Кореновск	Краснодарский край		
krasnodar	2	Краснодар	Краснодарский край		
Krasnodar	36	Краснодар	Краснодарский край		
krasnodarcity	1	Краснодар	Краснодарский край		
г.Краснодар	1	Краснодар	Краснодарский край		
ГородГеройКраснодар	1	Краснодар	Краснодарский край		
ЕкатеринодаР	1	Краснодар	Краснодарский край		
Екатеринодар	2	Краснодар	Краснодарский край		
краснодар	3	Краснодар	Краснодарский край		
Краснодар	296	Краснодар	Краснодарский край		
КраснодарСити	1	Краснодар	Краснодарский край		
КраснодариГеленджик	1	Краснодар, Геленджик	Краснодарский край		
KrasnodarTerritory	1	Краснодарский край	Краснодарский край		
Kuban	1	Краснодарский край	Краснодарский край		
Краснодарскийкрай	39	Краснодарский край	Краснодарский край		
Крымск	2	Крымск	Краснодарский край		
Курганинск	1	Курганинск	Краснодарский край		
Москва-Краснодар	1	Москва, Краснодар	Краснодарский край		
Москва-Краснодарскийкрай-Москва	1	Москва, Краснодарский край	Краснодарский край		
Москва-Сочи	3	Москва, Сочи	Краснодарский край		
Novorossiysk	2	Новороссийск	Краснодарский край		
NOVOниибатьROSSIYSK	1	Новороссийск	Краснодарский край		
Новоросс	1	Новороссийск	Краснодарский край		
Новороссийск	25	Новороссийск	Краснодарский край		
Приморско-Ахтарск	2	Приморско-Ахтарск	Краснодарский край		
Славянск-на-Кубани	1	Славянск-на-Кубани	Краснодарский край		
sochi	1	Сочи	Краснодарский край		
Sochi	10	Сочи	Краснодарский край		
Адлер	1	Сочи	Краснодарский край		
адлер	1	Сочи	Краснодарский край		
СолнечныйСочи	1	Сочи	Краснодарский край		
сочи	1	Сочи	Краснодарский край		
СОЧИ	2	Сочи	Краснодарский край		
Сочи	55	Сочи	Краснодарский край		
Сочи-А	1	Сочи	Краснодарский край		
Сочи-Краснодар	1	Сочи, Краснодар	Краснодарский край		
Темрюк	1	Темрюк	Краснодарский край		
Тихорецк	1	Тихорецк	Краснодарский край		
Туапсе	1	Туапсе	Краснодарский край		
Усть-Лабинск	2	Усть-Лабинск	Краснодарский край		
Сочи-Махачкала	1	Сочи, Махачкала	Краснодарский край, Дагестан		
Sochi<=>Minsk	1	Сочи, Минск	Краснодарский край, Минск		
Геленджик-Королёв	1	Геленджик, Королев	Краснодарский край, Московская область		
Krasnodar-Spb	1	Краснодар, Петербург	Краснодарский край, Петербург		
Санкт-Петербург–Краснодар	1	Краснодар, Петербург	Краснодарский край, Петербург		
SOCHIи(Екатеринбург)	1	Сочи, Екатеринбург	Краснодарский край, Свердловская область		
Ачинск	3	Ачинск	Красноярский край		
Дивногорск	1	Дивногорск	Красноярский край		
Красноярск-26	1	Железногорск	Красноярский край		
Красноярск-Железногорск	1	Железногорск	Красноярский край		
г.Кодинск	1	Кодинск	Красноярский край		
krasnoyarsk	1	Красноярск	Красноярский край		
Krasnoyarsk	25	Красноярск	Красноярский край		
Krasnoyrsk	2	Красноярск	Красноярский край		
красноярск	2	Красноярск	Красноярский край		
Красноярск	235	Красноярск	Красноярский край		
Красноярск-Москва	1	Красноярск, Москва	Красноярский край		
Красноярскийкрай	19	Красноярский край	Красноярский край		
Кропоткин	1	Кропоткин	Красноярский край		
Лесосибирск	2	Лесосибирск	Красноярский край		
г.Минусинск	1	Минусинск	Красноярский край		
Минусинск	1	Минусинск	Красноярский край		
Назарово	2	Назарово	Красноярский край		
Шушенское	1	Шушенское	Красноярский край		
